index,datetime,weathersit,temp,atemp,hum,windspeed,registered,cnt
51,2011-09-02 01:00:00,3,0.62,0.5909,0.73,0.1045,28,32
52,2012-12-18 11:00:00,1,0.48,0.4697,0.63,0.2239,211,269
53,2011-04-29 03:00:00,1,0.46,0.4545,0.59,0.0896,4,5
54,2011-08-02 08:00:00,1,0.74,0.6818,0.58,0.2836,398,435
55,2011-08-14 14:00:00,1,0.74,0.6970000000000001,0.7,0.19399999999999998,244,370
56,2011-07-18 22:00:00,1,0.76,0.7273,0.66,0.2239,104,140
57,2012-06-20 01:00:00,1,0.68,0.6364,0.79,0.19399999999999998,20,27
58,2011-07-17 11:00:00,1,0.76,0.6970000000000001,0.55,0.2836,244,391
59,2012-05-22 18:00:00,1,0.68,0.6364,0.61,0.1343,709,785
60,2011-09-14 19:00:00,2,0.7,0.6515,0.7,0.1045,337,381
61,2012-07-11 00:00:00,2,0.66,0.6061,0.83,0.1343,38,44
62,2012-05-08 13:00:00,3,0.64,0.6061,0.65,0.2537,166,219
63,2012-09-20 15:00:00,1,0.66,0.6212,0.47,0.19399999999999998,231,291
64,2012-10-05 10:00:00,1,0.66,0.6212,0.54,0.0,192,260
65,2012-04-07 02:00:00,1,0.36,0.3333,0.29,0.3582,25,36
66,2012-06-29 00:00:00,1,0.74,0.6667,0.48,0.1343,90,114
67,2012-12-05 14:00:00,1,0.48,0.4697,0.33,0.4925,179,218
68,2011-11-02 03:00:00,1,0.3,0.3333,0.75,0.0,2,2
69,2011-05-14 14:00:00,2,,0.5152,0.94,0.1343,159,216
70,2011-09-01 22:00:00,2,0.66,0.6212,0.57,0.2239,145,179
71,2012-05-17 09:00:00,1,0.54,0.5152,0.52,0.4179,289,346
72,2011-08-03 18:00:00,3,0.7,0.6667,0.84,0.0,443,492
73,2012-06-18 05:00:00,3,0.52,0.5,0.83,0.1343,22,23
74,2011-07-18 06:00:00,1,0.64,0.5758,0.83,0.1045,95,105
75,2012-12-28 20:00:00,2,0.24,0.2576,0.65,0.1045,83,97
76,2011-04-22 05:00:00,1,0.34,0.3182,0.53,0.2239,16,16
77,2012-05-23 12:00:00,2,0.66,0.6212,0.69,0.0896,206,248
78,2012-04-22 09:00:00,3,0.4,0.4091,0.82,0.2537,71,79
79,2011-02-10 20:00:00,1,,0.1818,0.31,0.0896,93,97
80,2012-12-06 08:00:00,1,0.22,0.2121,0.51,0.2985,646,659
81,2011-12-28 01:00:00,1,0.32,0.3182,0.76,0.1642,12,12
82,2012-03-24 11:00:00,2,0.5,0.4848,0.94,0.19399999999999998,175,273
83,2011-12-02 15:00:00,1,0.42,0.4242,0.41,0.0896,175,199
84,2011-10-30 10:00:00,1,0.32,0.3333,0.61,0.0896,125,178
85,2012-08-06 21:00:00,1,0.74,0.6970000000000001,0.7,0.19399999999999998,245,317
86,2012-04-11 19:00:00,1,0.4,0.4091,0.4,0.3582,356,384
87,2012-02-17 10:00:00,1,0.34,0.3182,0.71,0.2836,103,116
88,2012-06-30 03:00:00,2,0.64,0.5758,0.89,0.0,20,23
89,2011-06-25 19:00:00,1,0.72,0.6667,0.48,0.2836,254,375
90,2012-11-13 18:00:00,1,0.34,0.3182,0.49,0.2836,514,559
91,2012-05-05 12:00:00,1,0.72,0.6667,0.58,0.1045,330,550
92,2011-01-28 20:00:00,2,0.24,0.2273,0.7,0.19399999999999998,61,62
93,2012-10-19 14:00:00,1,0.66,0.6212,0.61,0.2537,277,365
94,2011-06-18 05:00:00,1,0.62,0.5758,0.83,0.0,6,7
95,2012-11-20 12:00:00,2,0.42,0.4242,0.67,0.0,243,313
96,2012-02-04 12:00:00,2,0.3,0.3182,0.7,0.0896,260,300
97,2012-07-02 13:00:00,1,0.86,0.7576,0.34,0.2239,162,236
98,2012-04-17 08:00:00,1,0.6,0.6212,0.43,0.2239,631,673
99,2011-09-16 03:00:00,1,0.4,0.4091,0.71,0.2537,4,6
100,2012-10-21 22:00:00,1,0.42,0.4242,0.54,0.0,95,113
101,2012-05-15 13:00:00,3,0.64,0.6061,0.73,0.19399999999999998,204,239
102,2012-01-09 06:00:00,2,0.22,0.2273,0.6,0.1343,85,88
103,2012-06-12 12:00:00,3,,0.6061,0.83,0.2537,76,95
104,2011-09-13 08:00:00,1,0.6,0.5606,0.81,0.1045,399,425
105,2012-09-10 02:00:00,1,0.54,0.5152,0.6,0.3582,6,17
106,2011-12-06 04:00:00,3,,0.4545,0.88,0.2239,7,7
107,2012-10-21 20:00:00,1,0.48,0.4697,0.44,0.19399999999999998,160,195
108,2012-02-06 11:00:00,1,0.26,0.2727,0.7,0.1343,104,116
109,2011-11-26 00:00:00,1,0.34,0.3485,0.76,0.1045,38,47
110,2011-07-20 07:00:00,2,0.7,0.6667,0.84,0.1045,276,303
111,2011-02-19 16:00:00,1,0.44,0.4394,0.16,0.6418,81,120
112,2012-06-11 22:00:00,2,0.72,0.6667,0.58,0.19399999999999998,142,164
113,2011-08-17 09:00:00,1,0.74,0.6667,0.48,0.0896,178,209
114,2011-10-28 05:00:00,2,0.3,0.2879,0.61,0.2537,25,25
115,2012-02-21 02:00:00,1,0.24,0.2879,0.6,0.0,3,3
116,2011-04-21 19:00:00,1,0.46,0.4545,0.28,0.2836,272,324
117,2012-07-11 18:00:00,1,0.78,0.6818,0.38,0.2537,735,814
118,2011-12-23 16:00:00,1,,0.3939,0.5,0.2985,166,181
119,2012-12-26 11:00:00,3,0.2,0.1667,0.86,0.4627,10,10
120,2012-07-31 01:00:00,1,0.66,0.6061,0.83,0.1343,18,21
121,2011-11-13 16:00:00,2,0.54,0.5152,0.28,0.3881,226,319
122,2011-11-05 16:00:00,1,0.4,0.4091,0.4,0.2239,207,335
123,2011-01-03 00:00:00,1,0.22,0.19699999999999998,0.44,,5,5
124,2011-07-06 16:00:00,1,0.76,0.7273,0.7,0.2537,218,275
125,2011-11-01 19:00:00,1,0.42,0.4242,0.58,0.0896,274,313
126,2011-01-28 12:00:00,3,0.18,0.2121,0.93,0.1045,28,29
127,2011-10-14 11:00:00,3,0.52,0.5,0.88,0.1642,76,87
128,2011-03-11 03:00:00,2,0.32,0.3333,0.93,0.0896,2,2
129,2012-04-30 19:00:00,2,0.54,0.5152,0.64,0.2537,420,471
130,2011-06-29 22:00:00,1,0.7,0.6364,0.42,,151,183
131,2012-07-23 08:00:00,1,,0.6970000000000001,0.79,0.1045,691,738
132,2012-04-09 22:00:00,2,0.46,0.4545,0.41,0.4925,102,108
133,2012-03-29 09:00:00,1,0.48,0.4697,0.48,0.4179,299,321
134,2011-02-08 11:00:00,1,0.22,0.1818,0.47,0.4627,49,50
135,2012-04-29 12:00:00,1,0.48,0.4697,0.44,0.1045,361,584
136,2012-03-22 17:00:00,1,0.66,0.6212,0.65,0.1642,656,810
137,2011-11-24 09:00:00,1,0.34,0.3485,0.61,0.0,68,81
138,2011-12-23 20:00:00,1,0.32,0.303,0.61,0.3284,47,50
139,2011-08-23 13:00:00,1,0.72,0.6515,0.3,0.1045,164,234
140,2012-04-23 21:00:00,2,0.32,0.303,0.81,0.2239,145,152
141,2012-04-11 06:00:00,1,0.28,0.2879,0.56,0.1045,103,106
142,2012-03-01 16:00:00,1,0.58,0.5455,0.32,0.2985,323,361
143,2012-09-15 22:00:00,1,0.56,0.5303,0.52,0.0,197,279
144,2012-10-27 09:00:00,1,0.5,0.4848,0.77,0.2537,240,328
145,2012-07-10 01:00:00,1,0.7,0.6667,0.74,0.1343,15,15
146,2011-08-30 15:00:00,1,0.74,0.6515,0.35,0.2239,162,196
147,2012-10-01 14:00:00,2,0.6,0.6212,0.43,0.1045,193,244
148,2011-02-05 21:00:00,1,0.26,0.2576,1.0,0.19399999999999998,53,56
149,2012-04-16 09:00:00,1,,0.6061,0.69,0.2239,238,297
150,2012-10-13 08:00:00,1,0.34,0.3485,0.53,0.1045,151,174
151,2011-04-29 17:00:00,2,0.52,0.5,0.45,0.3881,433,508
152,2011-10-04 07:00:00,1,0.42,0.4242,0.82,0.2836,298,309
153,2011-09-08 03:00:00,3,0.62,0.5455,0.94,0.0,2,2
154,2012-07-02 02:00:00,2,0.74,0.6667,0.51,0.2537,14,15
155,2011-09-17 08:00:00,2,0.46,0.4545,0.77,0.2537,81,108
156,2011-08-10 10:00:00,1,0.8,0.7273,0.43,0.2239,72,113
157,2011-11-19 12:00:00,1,0.4,0.4091,0.35,0.2836,218,311
158,2012-06-21 22:00:00,1,0.8,0.7879,0.63,,221,243
159,2011-01-21 11:00:00,1,0.22,0.1818,0.41,0.4627,53,59
160,2011-02-16 04:00:00,1,0.2,0.19699999999999998,0.51,,1,1
161,2011-11-15 10:00:00,2,0.56,0.5303,0.64,0.2836,115,138
162,2011-07-12 22:00:00,1,0.8,0.7273,0.46,0.1343,150,194
163,2012-07-05 08:00:00,1,0.8,0.7424,0.49,0.1343,514,550
164,2012-05-10 13:00:00,1,0.54,0.5152,0.39,0.4478,228,318
165,2011-09-12 17:00:00,1,0.72,0.6667,0.51,0.1642,515,590
166,2012-09-25 02:00:00,1,0.42,0.4242,0.77,0.1343,9,14
167,2011-06-07 06:00:00,1,0.6,0.5758,0.78,0.1343,116,126
168,2011-10-07 15:00:00,1,0.66,0.6212,0.41,0.0,202,270
169,2012-08-10 15:00:00,1,0.8,0.7424,0.52,0.4478,224,324
170,2011-07-22 13:00:00,1,0.94,0.9848,0.51,0.1642,98,123
171,2012-12-02 14:00:00,1,0.44,0.4394,0.62,0.2537,331,473
172,2011-09-08 18:00:00,3,0.64,0.5606,0.94,0.3582,66,68
173,2011-12-17 21:00:00,1,0.2,0.2121,0.75,0.1642,88,96
174,2011-05-21 03:00:00,1,0.48,0.4697,0.82,0.1045,12,19
175,2011-04-20 04:00:00,1,0.4,0.4091,1.0,0.1045,4,9
176,2011-12-16 14:00:00,2,0.34,0.3182,0.42,0.2239,115,128
177,2011-12-05 09:00:00,2,0.36,0.3636,0.87,0.0896,178,190
178,2011-04-05 18:00:00,1,0.38,0.3939,0.4,0.4925,248,267
179,2012-08-28 14:00:00,1,0.84,0.7424,0.38,0.3284,179,251
180,2012-01-19 21:00:00,1,0.26,0.2273,0.44,0.3582,117,121
181,2012-01-21 03:00:00,3,0.14,0.1818,0.93,0.0896,13,13
182,2011-08-14 05:00:00,2,0.64,0.5606,0.94,0.1642,9,10
183,2012-01-18 19:00:00,1,0.22,0.19699999999999998,0.37,0.3881,251,256
184,2012-10-24 20:00:00,2,0.62,0.6061,0.61,0.0896,396,441
185,2011-03-05 09:00:00,2,0.32,0.303,0.93,0.2239,48,63
186,2011-10-25 14:00:00,1,0.56,0.5303,0.4,0.2537,134,200
187,2011-07-30 16:00:00,1,0.9,0.7879,0.27,0.2239,176,302
188,2011-11-04 08:00:00,2,0.4,0.4091,0.87,0.3582,387,395
189,2011-02-22 23:00:00,1,0.16,0.1515,0.43,0.2537,18,21
190,2011-10-04 14:00:00,1,0.58,0.5455,0.53,0.2537,156,183
191,2012-11-27 17:00:00,2,0.3,0.2727,0.75,0.3881,514,527
192,2011-04-24 06:00:00,2,0.5,0.4848,1.0,0.0,3,13
193,2011-08-08 13:00:00,1,0.84,0.7576,0.44,,108,151
194,2011-03-11 15:00:00,2,0.34,0.3182,0.53,0.2537,64,85
195,2012-08-08 12:00:00,2,0.8,0.7424,0.52,0.0,217,280
196,2012-07-18 15:00:00,3,0.92,0.8485,0.35,0.3582,152,194
197,2011-10-24 06:00:00,1,0.4,0.4091,0.87,0.1045,83,86
198,2011-06-05 23:00:00,1,0.62,0.5909,0.78,0.1343,61,86
199,2012-12-22 21:00:00,1,0.22,0.2121,0.51,0.2836,49,53
200,2011-04-24 09:00:00,1,0.56,0.5303,0.88,0.2537,104,177
201,2012-11-02 12:00:00,1,0.42,0.4242,0.41,,240,292
202,2011-03-01 13:00:00,1,0.32,0.3485,0.39,0.0,65,78
203,2011-04-25 04:00:00,2,,0.5,1.0,0.0,4,5
204,2012-01-16 21:00:00,1,0.28,0.2576,0.52,0.3284,46,49
205,2012-09-07 21:00:00,1,0.7,0.6667,0.74,0.1642,246,301
206,2011-10-05 23:00:00,1,0.5,0.4848,0.77,0.1045,64,73
207,2011-02-15 08:00:00,1,0.2,0.1818,0.32,0.3582,213,223
208,2012-06-27 13:00:00,1,0.8,0.6970000000000001,0.27,0.3284,244,321
209,2012-02-04 07:00:00,2,0.24,0.2424,0.87,0.1343,27,28
210,2012-03-27 18:00:00,1,0.42,0.4242,0.17,0.0896,577,644
211,2012-08-29 23:00:00,1,0.66,0.6212,0.57,0.0,123,157
212,2011-05-12 16:00:00,2,0.64,0.6212,0.57,0.2537,238,288
213,2012-02-25 21:00:00,1,0.24,0.2121,0.35,,80,85
214,2011-03-11 22:00:00,1,0.3,0.303,0.52,0.1642,53,64
215,2011-11-15 15:00:00,2,0.54,0.5152,0.6,0.1343,155,191
216,2012-08-02 18:00:00,1,,0.7727,0.59,0.2239,681,767
217,2011-09-16 16:00:00,2,0.52,0.5,0.48,0.1642,291,358
218,2011-09-16 11:00:00,2,0.5,0.4848,0.51,0.1343,139,179
219,2011-09-25 14:00:00,2,0.66,0.6061,0.78,0.0,231,347
220,2011-09-22 23:00:00,2,0.62,0.5455,0.94,0.0,99,113
221,2012-09-15 05:00:00,1,0.58,0.5455,0.6,0.5224,15,16
222,2011-05-12 07:00:00,1,0.46,0.4545,0.88,0.1343,283,297
223,2012-05-07 16:00:00,2,0.6,0.6212,0.53,0.3881,320,388
224,2012-05-12 00:00:00,1,0.52,0.5,0.42,0.1642,111,136
225,2011-11-01 07:00:00,1,0.34,0.3333,0.76,0.19399999999999998,246,254
226,2011-12-21 17:00:00,3,0.44,0.4394,1.0,0.3284,226,229
227,2012-07-18 14:00:00,1,0.94,0.8788,0.38,0.3284,116,170
228,2012-12-12 08:00:00,2,0.26,0.2576,0.65,,670,688
229,2012-07-10 21:00:00,3,0.64,0.5758,0.89,0.1045,83,90
230,2012-08-27 14:00:00,1,0.8,0.7424,0.49,0.0896,180,246
231,2011-02-21 06:00:00,2,0.42,0.4242,0.26,0.2985,6,8
232,2011-08-05 07:00:00,1,0.66,0.6061,0.78,0.1343,247,270
233,2011-06-17 23:00:00,1,0.62,0.5758,0.83,0.1343,141,178
234,2012-01-06 20:00:00,1,0.42,0.4242,0.41,,163,177
235,2011-11-21 16:00:00,3,0.44,0.4394,0.94,0.2239,95,108
236,2011-09-08 13:00:00,2,0.68,0.6364,0.83,0.3881,112,126
237,2012-12-04 08:00:00,2,0.44,0.4394,0.88,0.1642,700,721
238,2011-02-06 15:00:00,1,0.34,0.3485,0.46,0.0896,130,182
239,2012-07-19 04:00:00,1,0.72,0.6818,0.7,0.1045,8,8
240,2012-04-28 23:00:00,2,0.38,0.3939,0.76,0.0896,37,42
241,2012-10-28 16:00:00,3,0.48,0.4697,0.67,0.4627,251,293
242,2012-03-06 02:00:00,1,0.2,0.19699999999999998,0.44,0.2239,4,4
243,2012-12-20 17:00:00,2,0.34,0.3333,0.66,0.19399999999999998,450,475
244,2012-04-22 02:00:00,1,0.46,0.4545,0.72,0.2836,49,56
245,2011-03-11 01:00:00,3,0.34,0.3485,1.0,0.1045,8,8
246,2011-09-16 01:00:00,1,0.42,0.4242,0.67,0.19399999999999998,19,26
247,2012-01-13 11:00:00,1,0.24,0.1818,0.38,0.6119,102,114
248,2011-12-07 03:00:00,3,0.46,0.4545,1.0,0.2239,3,3
249,2012-01-23 03:00:00,2,0.18,0.2424,0.86,0.0,1,1
250,2012-06-24 05:00:00,1,0.62,0.6061,0.69,0.1343,7,8
251,2012-05-04 17:00:00,1,0.7,0.6515,0.54,0.4627,547,643
252,2012-10-31 14:00:00,2,0.42,0.4242,0.5,0.2239,179,224
253,2011-09-18 06:00:00,1,,0.4394,0.77,0.2537,10,12
254,2011-11-26 03:00:00,1,0.3,0.3333,0.81,0.0,9,17
255,2011-03-14 08:00:00,2,0.3,0.303,0.56,0.1343,217,241
256,2012-09-10 15:00:00,1,0.66,0.6212,0.31,0.3881,231,346
257,2011-02-17 21:00:00,1,0.52,0.5,0.55,0.3881,119,124
258,2012-07-17 14:00:00,1,0.94,0.8333,0.29,0.2537,160,214
259,2012-11-11 18:00:00,1,0.52,0.5,0.45,0.1343,303,405
260,2011-04-27 12:00:00,1,0.66,0.6061,0.78,0.3284,135,173
261,2012-08-26 08:00:00,1,0.68,0.6364,0.79,0.2836,112,133
262,2012-07-15 06:00:00,1,0.68,0.6364,0.83,0.1343,9,15
263,2011-07-08 19:00:00,1,0.66,0.6061,0.83,,225,270
264,2011-07-12 08:00:00,1,0.76,0.7121,0.58,,382,417
265,2011-03-31 21:00:00,2,0.28,0.2727,0.93,0.1642,53,60
266,2012-01-27 13:00:00,1,0.5,0.4848,0.59,0.4627,175,201
267,2011-10-14 15:00:00,1,0.62,0.6212,0.43,0.2836,169,230
268,2011-12-17 23:00:00,1,0.2,0.2273,0.75,0.0,63,69
269,2012-01-10 11:00:00,1,0.42,0.4242,0.38,0.2985,93,101
270,2012-10-17 22:00:00,1,0.46,0.4545,0.88,0.2537,198,215
271,2012-01-08 06:00:00,2,0.3,0.3333,0.52,0.0,2,2
272,2012-05-22 14:00:00,2,0.64,0.6061,0.73,0.1045,149,222
273,2012-05-14 06:00:00,3,0.52,0.5,0.94,0.2985,62,65
274,2011-08-10 11:00:00,1,0.8,0.7121,0.41,0.3881,95,149
275,2012-06-29 22:00:00,3,0.82,0.8333,0.63,0.19399999999999998,129,163
276,2012-01-30 04:00:00,1,0.2,0.2121,0.51,0.1343,5,5
277,2011-09-23 16:00:00,3,0.62,0.5455,0.94,0.0,51,56
278,2011-11-07 02:00:00,1,0.32,0.3485,0.93,0.0,2,2
279,2012-05-12 05:00:00,1,0.42,0.4242,0.67,0.1343,8,13
280,2012-10-07 17:00:00,3,0.4,0.4091,0.82,0.2239,122,157
281,2012-11-07 09:00:00,2,0.26,0.2424,0.6,0.2836,351,368
282,2012-08-20 05:00:00,2,0.6,0.5606,0.83,0.0,35,37
283,2011-06-19 13:00:00,2,0.74,0.6667,0.51,0.0,214,363
284,2011-11-22 12:00:00,3,0.4,0.4091,1.0,0.0896,18,21
285,2011-07-15 04:00:00,1,0.6,0.5909,0.73,0.1642,8,10
286,2012-05-06 03:00:00,2,0.54,0.5152,0.83,0.19399999999999998,19,28
287,2011-08-20 19:00:00,1,0.74,0.6818,0.62,0.19399999999999998,182,291
288,2011-09-24 14:00:00,2,0.66,0.6212,0.74,0.1343,226,390
289,2011-05-28 15:00:00,1,0.74,0.6818,0.55,0.2239,187,374
290,2012-08-20 01:00:00,1,0.6,0.5606,0.83,0.1642,10,10
291,2012-08-10 00:00:00,1,0.7,0.6515,0.65,0.0896,68,85
292,2012-08-20 20:00:00,2,0.62,0.5758,0.83,0.2836,231,261
293,2012-12-22 15:00:00,1,0.32,0.2727,0.33,0.5821,139,153
294,2012-01-18 03:00:00,2,,0.4394,0.51,0.4925,3,4
295,2011-08-17 16:00:00,1,0.82,0.7424,0.43,0.2239,238,300
296,2012-02-03 15:00:00,1,0.38,0.3939,0.4,0.0,168,216
297,2011-07-04 15:00:00,1,0.82,0.7424,0.43,0.0896,184,408
298,2012-06-11 18:00:00,2,0.8,0.7273,0.43,0.2985,726,831
299,2011-08-11 18:00:00,1,0.78,0.6818,0.29,0.0896,497,571
300,2011-02-12 17:00:00,1,0.32,0.2879,0.31,0.5224,113,137
301,2011-02-01 12:00:00,2,0.2,0.2576,0.86,0.0,53,55
302,2012-04-07 04:00:00,1,0.32,0.3182,0.36,0.1642,4,7
303,2011-06-29 23:00:00,1,0.68,0.6364,0.47,0.19399999999999998,97,129
304,2012-08-15 22:00:00,1,0.7,0.6515,0.61,0.1642,197,226
305,2012-01-09 00:00:00,1,0.24,0.2273,0.6,0.2239,12,15
306,2012-04-28 03:00:00,1,0.34,0.3182,0.49,0.2239,23,26
307,2012-01-31 17:00:00,1,0.54,0.5152,0.26,0.4179,518,559
308,2011-05-19 19:00:00,1,0.58,0.5455,0.6,0.1343,345,410
309,2011-07-24 20:00:00,1,0.84,0.7879,0.49,0.1642,143,195
310,2011-07-09 21:00:00,1,0.74,0.6818,0.58,0.1642,155,238
311,2011-10-29 08:00:00,3,0.28,0.2576,0.87,0.3582,16,20
312,2011-06-14 23:00:00,1,0.56,0.5303,0.68,0.2239,91,110
313,2012-11-25 23:00:00,1,0.22,0.2576,0.69,0.0896,40,41
314,2011-07-28 21:00:00,1,0.78,0.7576,0.66,,165,196
315,2012-06-20 22:00:00,1,0.82,0.7576,0.46,0.1045,226,257
316,2011-11-06 07:00:00,1,0.26,0.2727,0.87,0.1045,24,28
317,2011-01-16 05:00:00,2,0.26,0.2576,0.56,0.1642,1,2
318,2011-01-04 10:00:00,2,0.16,0.1364,0.69,0.3284,37,42
319,2011-03-25 06:00:00,1,0.18,0.1818,0.74,0.2239,32,32
320,2011-01-02 20:00:00,1,0.3,0.2727,0.39,0.3582,17,22
321,2012-03-17 18:00:00,1,0.62,0.6212,0.57,0.2985,339,560
322,2011-09-30 07:00:00,1,0.52,0.5,0.83,0.2239,283,297
323,2011-11-05 06:00:00,1,0.26,0.2424,0.6,0.2537,20,23
324,2011-07-03 20:00:00,3,,0.6061,0.83,0.0,93,176
325,2011-08-15 19:00:00,1,,0.6515,0.65,,343,397
326,2011-09-10 04:00:00,1,0.58,0.5455,0.94,0.0896,4,7
327,2011-02-07 16:00:00,2,0.36,0.3485,0.57,0.1343,98,114
328,2012-11-29 13:00:00,1,0.38,0.3939,0.32,0.1343,209,224
329,2012-07-30 08:00:00,2,0.72,0.6970000000000001,0.74,0.1045,720,751
330,2012-04-22 20:00:00,3,0.36,0.3333,0.93,0.4179,34,35
331,2011-08-23 18:00:00,1,0.72,0.6515,0.34,0.19399999999999998,421,519
332,2011-06-06 10:00:00,1,0.72,0.6667,0.51,0.2239,64,95
333,2012-07-30 15:00:00,1,0.8,0.7424,0.49,0.2537,185,236
334,2012-07-07 23:00:00,1,0.84,0.8182,0.56,0.1642,114,148
335,2011-10-30 16:00:00,1,0.42,0.4242,0.32,0.1343,213,320
336,2012-05-04 00:00:00,1,0.6,0.5758,0.78,0.3284,70,89
337,2012-08-12 17:00:00,1,0.8,0.6970000000000001,0.33,0.0,319,505
338,2012-02-13 17:00:00,1,0.36,0.3485,0.23,0.19399999999999998,399,407
339,2011-05-10 08:00:00,2,0.5,0.4848,0.51,0.1045,397,425
340,2011-05-14 17:00:00,2,0.56,0.5303,0.88,,194,272
341,2011-04-21 21:00:00,1,0.42,0.4242,0.47,0.19399999999999998,159,184
342,2012-03-12 04:00:00,1,0.34,0.3333,0.61,0.19399999999999998,3,3
343,2012-02-01 16:00:00,1,0.6,0.6212,0.4,0.2239,261,283
344,2012-07-04 11:00:00,1,0.82,0.7576,0.46,0.1343,321,485
345,2012-02-24 13:00:00,2,0.42,0.4242,0.71,0.1045,153,183
346,2012-01-04 06:00:00,1,0.02,0.0455,0.41,0.1642,59,59
347,2012-10-03 12:00:00,2,0.7,0.6515,0.7,0.1045,289,358
348,2012-01-05 18:00:00,1,0.34,0.3333,0.36,0.1642,374,383
349,2012-09-10 14:00:00,1,0.66,0.6212,0.36,0.2836,233,340
350,2012-03-17 19:00:00,1,,0.5455,0.64,0.2836,262,417
351,2011-12-10 14:00:00,1,0.34,0.303,0.31,0.3284,242,293
352,2011-07-22 08:00:00,2,0.84,0.8485,0.63,0.1642,292,322
353,2012-12-30 03:00:00,2,0.26,0.2273,0.56,0.4179,14,15
354,2012-03-28 16:00:00,3,0.62,0.6212,0.43,0.0896,170,221
355,2012-02-12 05:00:00,1,0.1,0.0758,0.49,0.3881,3,3
356,2011-06-05 02:00:00,2,0.64,0.6212,0.61,0.1642,48,64
